,d_ori,d_glm,delta_cos
0,0.9988425630392614,0.9422702312712375,0.0565723317680239
1,0.9948023677429954,0.9873030699971018,0.0074992977458935295
2,0.986748960554735,0.9816827434581151,0.005066217096619918
3,0.9857319843376523,0.9188004314149923,0.06693155292265995
4,0.9924494311900521,0.9591019709071527,0.03334746028289948
5,0.9939945541943315,0.9557472937064335,0.03824726048789795
6,0.9985402872154343,0.9904917610239728,0.008048526191461458
7,0.9920904119010766,0.9363708495101012,0.05571956239097542
8,0.9833322384902976,0.98456394527857,-0.0012317067882724464
9,0.9887643663947552,0.9626223599268359,0.02614200646791931
10,0.9820486833795888,0.9903257127309452,-0.008277029351356324
11,0.9851130654980835,0.9699748559528419,0.015138209545241588
12,0.9992596126598842,0.9166269270868075,0.08263268557307668
13,0.9949681737070568,0.977505851181744,0.017462322525312768
14,0.9980622455888253,0.9914275739868847,0.006634671601940534
15,0.9976862024738853,0.9576121488372511,0.04007405363663419
16,0.9722904610618653,0.9380332774030363,0.034257183658829016
17,0.990723560015154,0.9973693627480131,-0.006645802732859085
18,0.9836400920210951,0.9935329337994557,-0.009892841778360584
19,0.9941325541593259,0.9862752183437976,0.007857335815528277
