,d_ori,d_glm,delta_cos
0,0.9969245390693078,0.9971659706493164,-0.00024143158000866638
1,0.9972993633756406,0.9812786607165842,0.01602070265905642
2,0.9984998973522645,0.941923013721,0.05657688363126456
3,0.9986133624685337,0.9424856291589816,0.05612773330955212
4,0.9987357134315046,0.985563726431389,0.01317198700011557
5,0.9886456494601719,0.991087490583512,-0.002441841123340116
6,0.9941456228757887,0.9670997883271646,0.02704583454862408
7,0.9805413328782618,0.9694134497784231,0.011127883099838698
8,0.9941846374833102,0.9676777168403576,0.02650692064295257
9,0.998262291117516,0.9967429067604436,0.0015193843570723287
10,0.9987643623472503,0.9944512532347138,0.004313109112536462
11,0.9998037222914827,0.9920259163587875,0.007777805932695281
12,0.9987237459778537,0.9950246798542983,0.0036990661235554168
13,0.9902982779728948,0.99760312589449,-0.007304847921595137
14,0.9986899249731089,0.9782924934730056,0.020397431500103314
15,0.99951856269125,0.9736266835168014,0.025891879174448573
16,0.9968907962179623,0.9406481805204396,0.05624261569752265
17,0.9925219515148691,0.9969859535194255,-0.004464002004556433
18,0.9879272687540355,0.9889577373329326,-0.0010304685788971035
19,0.9991146869304998,0.9874457177154246,0.011668969215075209
20,0.9966549844397186,0.9921045752772634,0.0045504091624551934
21,0.9966101885319614,0.9247366598364786,0.0718735286954828
22,0.9893935385924962,0.9672946098039098,0.022098928788586436
23,0.9944669303520116,0.9630147440461132,0.03145218630589841
24,0.9984614299015774,0.966882345731538,0.031579084170039406
25,0.9948022461706899,0.9916998072347938,0.0031024389358961235
26,0.9986714071762917,0.9849304045574582,0.013741002618833487
27,0.9967575403357338,0.9636281775194723,0.033129362816261554
28,0.9845614291242306,0.9407810976394342,0.04378033148479643
29,0.9959437062003287,0.9735579294509223,0.02238577674940634
30,0.9975159954070443,0.9664901494307937,0.031025845976250577
31,0.9988175903186818,0.978623029877737,0.02019456044094481
32,0.9955483501451173,0.9912904372858783,0.004257912859239044
33,0.9985033764941239,0.9766419441545955,0.02186143233952842
34,0.9989644226148554,0.9644314770733671,0.034532945541488336
35,0.9991382568027223,0.9242537550610672,0.07488450174165506
36,0.9965581605133144,0.9788954383876762,0.01766272212563813
37,0.998220577029223,0.986878880084567,0.011341696944655921
38,0.9920813808934978,0.9907780492346865,0.0013033316588113575
39,0.9994595603285416,0.9780533832563632,0.0214061770721784
40,0.983105756753986,0.9902872252375603,-0.00718146848357426
41,0.9989586479281194,0.9319863715347735,0.06697227639334591
42,0.9993530214186201,0.996271684231822,0.00308133718679815
43,0.995201009559326,0.9805499276757882,0.014651081883537809
44,0.9965333754092442,0.9980844967861641,-0.0015511213769198173
45,0.9991811096325511,0.9842263507703448,0.014954758862206319
46,0.9997855365751825,0.9885121348040882,0.011273401771094371
47,0.999029327311284,0.9939134516697347,0.005115875641549361
48,0.9973086492154095,0.9516573118247571,0.04565133739065241
49,0.9985417691135409,0.9977636542738548,0.0007781148396860393
50,0.9941329034444831,0.9947937175485049,-0.0006608141040217452
51,0.9939353646422178,0.9856547493110053,0.008280615331212493
52,0.9999840189927425,0.9261636005568268,0.07382041843591569
53,0.9984926550629164,0.9641322273922894,0.03436042767062697
54,0.9987966007604341,0.961831654231849,0.03696494652858506
55,0.997851117485723,0.9897125941015494,0.008138523384173535
56,0.9987354061824479,0.9946769248649766,0.00405848131747133
57,0.9976057435975196,0.9495038362499714,0.04810190734754827
58,0.9950273416141444,0.9871492330390992,0.007878108575045228
59,0.9994141383244088,0.9750369377280695,0.0243772005963393
60,0.9963274715945605,0.9980175879570558,-0.0016901163624952753
61,0.9920364656100148,0.9734033222305483,0.018633143379466532
62,0.9983418954191667,0.9744076660479374,0.023934229371229354
63,0.9994393766794991,0.9929846032582978,0.006454773421201265
64,0.9930438799018284,0.9664218282229743,0.02662205167885412
65,0.9987979600632804,0.9894164300086923,0.009381530054588083
66,0.997034949010749,0.996226875391796,0.0008080736189529647
67,0.9946561232425059,0.9991149343507837,-0.004458811108277838
68,0.9945258688903156,0.9431457283723794,0.05138014051793616
69,0.9945345592069992,0.9883284231962678,0.006206136010731389
70,0.9975287434138927,0.9912354027260334,0.006293340687859361
71,0.9936229747921854,0.9597747988730558,0.033848175919129586
72,0.9930768056082865,0.9894500575583844,0.00362674804990204
73,0.9975633894784908,0.988587587112471,0.008975802366019803
74,0.9941693792400769,0.9959468858419096,-0.0017775066018327346
75,0.9991208440376498,0.9758748992436219,0.023245944794027862
76,0.9970190516749077,0.9893048429828679,0.007714208692039759
77,0.9955795622815561,0.9245167823997215,0.07106277988183463
78,0.9991103293824113,0.942440587727599,0.05666974165481231
79,0.9946923622352092,0.9804489704823025,0.014243391752906676
80,0.9904723294821873,0.9384824053864482,0.051989924095739104
81,0.9949566300323485,0.9954226232109804,-0.00046599317863194045
82,0.99855299721027,0.9819495613729519,0.01660343583731816
83,0.9985346470997992,0.9837276044905454,0.014807042609253807
84,0.9857580411751886,0.9395436678712353,0.04621437330395328
85,0.9935824971523188,0.959437004957556,0.034145492194762816
86,0.9962150773188158,0.9518589086901444,0.04435616862867131
87,0.9989389802684503,0.9402623823211942,0.058676597947256104
88,0.992816769505936,0.8948514098334874,0.09796535967244857
89,0.9990485154972055,0.9838277878395791,0.015220727657626387
90,0.9987945061646897,0.9982161866581829,0.0005783195065067748
91,0.9981365499232902,0.9867166070863569,0.011419942836933261
92,0.9819813911618297,0.9468302862835303,0.03515110487829942
93,0.9997395726119273,0.9960465683836812,0.003693004228246033
94,0.9985415251462888,0.9879708360306814,0.010570689115607435
