,cos_ori,cos_glm,delta_cos
0,0.9989041800949291,0.9676859043541794,0.031218275740749646
1,0.9959194741971573,0.9985530183559894,-0.002633544158832102
2,0.996032040599023,0.987976132988083,0.008055907610939994
3,0.9993646296701747,0.9745182060600297,0.024846423610144996
4,0.9982712959770889,0.9802247731124097,0.018046522864679115
5,0.9981439232392751,0.9820307649537126,0.01611315828556259
6,0.9997320213489578,0.9979042150841214,0.0018278062648363624
7,0.9997237615049265,0.9884581971825748,0.011265564322351707
8,0.999585603479464,0.9983395160405842,0.0012460874388797727
9,0.9990527071426365,0.9935178485072242,0.005534858635412254
10,0.9991164641138293,0.9768644529473179,0.02225201116651132
11,0.9982797940630366,0.9933064379950891,0.004973356067947465
12,0.9999382212023571,0.9947548129950452,0.00518340820731189
13,0.9995624244807831,0.988172091478458,0.01139033300232517
14,0.9995436790369385,0.9970440774017372,0.002499601635201354
15,0.9996954117910193,0.9677282386970499,0.03196717309396935
16,0.9914431509452729,0.9636067827271287,0.02783636821814417
17,0.9996669492691566,0.9384123724864093,0.06125457678274726
18,0.9864006685519209,0.9729848445998031,0.013415823952117822
19,0.9997524929075811,0.9786866089022619,0.02106588400531917
20,0.9997131260579071,0.9990098144393307,0.0007033116185763966
21,0.999979897313119,0.9833898600529364,0.0165900372601826
22,0.9997118231905257,0.9985085331360489,0.0012032900544767244
23,0.9990695039198613,0.9557218921723252,0.0433476117475361
24,0.9998142025289213,0.9877775632346357,0.012036639294285556
25,0.9979134377152408,0.9950694742007669,0.002843963514473913
26,0.9987444012826292,0.9816639944417901,0.017080406840839113
27,0.9989796926505965,0.9916489472406947,0.007330745409901751
28,0.9988869252884925,0.9955172375927593,0.0033696876957332034
29,0.9998839255713056,0.9886387123434864,0.011245213227819129
30,0.999714203702306,0.9838552612743956,0.015858942427910416
31,0.9994426476255818,0.9891227596360614,0.010319887989520327
32,0.999455565848492,0.9234235263603705,0.07603203948812154
33,0.9986332342572226,0.9918607801449808,0.00677245411224181
34,0.999259399460909,0.9979507051400528,0.0013086943208562296
35,0.9970822521050484,0.999691571657189,-0.00260931955214061
36,0.9942881997868649,0.965226917406583,0.02906128238028194
37,0.9999317231007304,0.9969911590850848,0.002940564015645575
38,0.9945278451781588,0.9965111445741791,-0.001983299396020266
39,0.9969433326633008,0.9824020686766483,0.014541263986652564
40,0.9976911332696419,0.9914647156008086,0.006226417668833251
41,0.9985795955449457,0.965514221161134,0.03306537438381174
42,0.9982973029867751,0.9871437564232118,0.011153546563563266
43,0.9995456651870773,0.9909069840881845,0.008638681098892875
